from,to,cost,distance
346,680,0.268,334
717,346,0.594,371
514,15,0.405,499
653,66,3.656,587
15,204,0.8009999999999999,189
204,288,1.159,84
830,227,0.207,603
706,126,0.272,580
572,830,0.272,258
720,783,1.108,63
451,764,0.529,313
783,23,0.35,760
244,675,0.56,431
709,224,0.779,485
383,244,0.589,139
95,383,0.414,288
867,95,0.72,772
105,517,0.273,412
406,354,0.401,52
71,437,0.996,366
768,132,1.874,636
646,216,1.031,430
781,222,3.315,559
37,781,0.145,744
216,170,1.341,46
627,447,0.135,180
170,640,0.7829999999999999,470
586,627,1.359,41
640,620,0.8190000000000001,20
237,586,0.8009999999999999,349
620,501,1.638,119
668,237,0.8170000000000001,431
501,4,0.256,497
845,668,1.621,177
253,845,3.924,592
683,852,2.716,169
513,710,0.192,197
818,513,0.7709999999999999,305
550,44,0.736,506
648,375,0.2239999999999999,273
375,408,0.64,33
697,101,0.882,596
295,676,0.866,381
821,228,0.6890000000000001,593
174,156,0.802,18
166,821,0.144,655
181,166,0.64,15
124,181,0.241,57
791,372,0.747,419
261,124,0.513,137
372,173,0.305,199
623,261,1.064,362
412,623,2.087,211
454,412,2.614,42
299,657,2.855,358
138,454,2.474,316
657,581,0.593,76
581,391,0.884,190
822,138,4.345,684
339,506,0.578,167
280,320,0.7709999999999999,40
589,394,0.785,195
394,232,0.6559999999999999,162
61,782,0.8340000000000001,721
232,785,0.995,553
305,61,0.7559999999999999,244
381,149,0.344,232
762,722,0.889,40
726,762,0.29,36
149,701,0.598,552
687,726,0.6509999999999999,39
545,606,0.273,61
421,217,0.8190000000000001,204
606,368,0.929,238
368,362,0.7659999999999999,6
837,421,1.186,416
294,779,0.239,485
195,140,0.624,55
458,195,0.24,263
779,708,0.8340000000000001,71
708,659,0.208,49
27,458,0.898,431
659,868,0.544,209
213,603,0.941,390
283,150,0.652,133
841,283,0.908,558
523,35,1.235,488
468,688,0.336,220
519,28,2.052,491
688,751,0.7070000000000001,63
483,102,1.945,381
738,270,0.319,468
270,134,0.337,136
120,483,0.368,363
561,249,1.537,312
263,848,0.305,585
597,561,0.336,36
848,460,1.237,388
460,55,0.239,405
777,452,0.208,325
55,206,1.492,151
113,777,1.347,664
206,516,0.368,310
516,448,0.978,68
57,130,0.7829999999999999,73
155,614,0.625,459
614,598,0.417,16
363,655,1.746,292
117,103,1.235,14
655,345,4.065,310
255,117,2.484,138
172,255,0.562,83
345,220,0.593,125
748,369,1.88,379
136,286,1.444,150
714,349,0.8390000000000001,365
302,511,0.37,209
349,184,0.55,165
628,302,0.789,326
184,880,0.905,696
743,628,0.726,115
226,431,0.431,205
526,574,0.955,48
431,491,0.493,60
491,274,0.618,217
122,526,0.496,404
823,122,0.62,701
274,333,0.665,59
333,94,0.316,239
176,823,0.667,647
466,176,0.318,290
94,207,0.43,113
685,466,0.413,219
207,858,0.207,651
356,328,0.7959999999999999,28
441,470,0.787,29
453,356,0.456,97
520,856,0.7879999999999999,336
859,324,0.6629999999999999,535
236,276,0.66,40
84,385,0.3429999999999999,301
723,84,0.7879999999999999,639
386,723,1.03,337
152,505,0.578,353
430,866,1.475,436
73,488,1.235,415
285,318,0.481,33
30,54,0.672,24
465,662,0.48,197
2,0,0.8170000000000001,2
116,427,0.623,311
114,496,0.792,382
42,537,0.64,495
277,419,0.562,142
831,618,1.671,213
490,277,1.3,213
618,500,1.574,118
365,490,1.783,125
500,771,0.546,271
9,265,0.835,256
630,193,1.689,437
786,9,1.621,777
193,80,1.607,113
259,786,0.851,527
80,857,1.842,777
167,332,1.039,165
582,203,0.805,379
673,12,0.321,661
599,292,1.789,307
732,582,0.225,150
203,209,0.307,6
12,733,0.37,721
68,91,0.679,23
594,371,2.715,223
524,599,1.412,75
499,430,1.987,69
168,832,1.456,664
443,301,0.861,142
301,70,1.643,231
804,168,1.128,636
459,804,1.454,345
70,849,0.968,779
289,760,0.504,471
750,242,0.3229999999999999,508
835,727,0.547,108
18,833,10.729,815
773,772,0.999,1
772,171,1.3330000000000002,601
171,303,0.901,132
303,528,0.738,225
528,310,2.114,218
310,178,1.76,132
407,247,1.958,160
525,438,8.827,87
39,359,1.606,320
565,284,0.24,281
214,264,1.5,50
716,163,1.513,553
667,664,0.965,3
619,799,0.561,180
481,647,3.622,166
96,185,1.803,89
378,481,1.505,103
185,160,1.879,25
160,331,1.3030000000000002,171
6,146,1.16,140
761,649,0.446,112
649,473,0.557,176
133,62,0.972,71
602,90,0.978,512
836,187,2.205,649
164,319,2.318,155
88,164,0.143,76
187,335,0.143,148
335,754,2.015,419
827,88,1.7380000000000002,739
749,827,3.699,78
862,749,1.048,113
735,45,0.7759999999999999,690
670,194,2.263,476
694,77,0.382,617
571,197,1.029,374
197,658,0.359,461
532,450,1.391,82
439,634,0.39,195
24,532,0.775,508
559,560,3.983,1
810,413,1.04,397
865,869,0.584,4
110,404,1.083,294
87,314,1.376,227
393,128,0.546,265
563,795,1.554,232
592,510,0.465,82
242,724,0.321,482
764,572,0.802,192
156,791,0.625,635
173,784,2.336,611
751,738,2.222,13
102,519,1.253,417
452,597,1.314,145
130,113,1.588,17
638,703,5.313,65
598,363,1.235,235
505,430,0.767,75
850,259,0.802,591
854,850,0.209,4
612,854,0.451,242
671,588,1.055,83
754,587,3.835,167
72,530,0.8320000000000001,458
695,7,1.495,688
311,695,1.864,384
462,836,0.24,374
21,531,2.9560000000000004,510
323,279,1.234,44
194,75,1.185,119
304,411,0.532,107
151,304,0.79,153
872,151,0.594,721
438,872,0.7240000000000001,434
587,877,1.655,290
286,579,2.611,293
369,172,0.882,197
797,406,0.272,391
11,24,0.6809999999999999,13
549,364,0.802,185
389,577,1.032,188
564,637,1.223,73
780,429,0.535,351
674,58,0.7340000000000001,616
495,674,0.585,179
436,563,2.115,127
165,807,0.922,642
766,592,0.285,174
361,864,0.936,503
851,280,5.792999999999999,571
558,27,0.324,531
376,663,1.756,287
290,750,0.828,460
724,133,0.977,591
90,761,0.472,671
224,797,0.8270000000000001,573
826,60,1.365,766
435,489,1.21,54
60,109,4.113,49
512,435,1.3730000000000002,77
125,512,0.7070000000000001,387
639,97,0.976,542
699,768,0.307,69
734,71,4.009,663
426,691,3.0460000000000003,265
26,508,0.722,482
873,527,0.7859999999999999,346
713,449,0.326,264
808,717,0.804,91
864,808,0.337,56
326,826,1.207,500
725,405,1.929,320
179,105,0.606,74
192,52,8.842,140
314,542,2.59,228
757,796,0.223,39
796,736,0.72,60
736,32,1.034,704
566,67,0.541,499
67,747,1.003,680
610,147,1.093,463
147,25,2.195,122
555,840,0.482,285
162,568,1.909,406
568,739,0.92,171
814,344,4.592,470
344,494,10.337,150
82,731,0.609,649
199,82,1.006,117
472,104,1.27,368
536,118,1.93,418
763,621,5.17,142
474,871,0.8029999999999999,397
358,474,0.483,116
388,17,0.144,371
205,388,1.466,183
64,492,1.887,428
49,246,4.502,197
767,49,9.985,718
332,811,0.143,479
475,730,0.481,255
605,308,0.483,297
157,417,0.529,260
752,323,0.391,429
75,752,1.143,677
271,670,0.865,399
855,200,0.899,655
200,442,0.933,242
650,68,3.427,582
196,673,0.885,477
533,196,0.306,337
229,392,0.532,163
486,229,0.305,257
350,26,0.593,324
135,350,0.319,215
65,63,0.208,2
615,65,0.305,550
215,681,0.374,466
401,215,0.306,186
737,231,0.3989999999999999,506
231,373,0.35,142
81,774,0.687,693
209,131,0.599,78
190,188,0.304,2
188,229,5.2,41
188,467,0.578,279
527,106,0.304,421
106,309,0.914,203
252,556,0.291,304
556,127,0.763,429
778,875,0.432,97
875,493,0.352,382
660,874,0.503,214
331,290,0.451,41
319,552,0.722,233
473,6,0.883,467
870,801,0.795,69
805,549,1.229,256
367,137,1.787,230
45,876,2.825,831
787,590,3.312,197
19,456,1.665,437
456,100,1.641,356
66,125,3.347,59
675,451,1.127,224
109,514,3.625,405
23,626,0.208,603
487,825,1.433,338
825,863,0.436,38
792,652,0.342,140
535,812,1.871,277
712,601,0.415,111
876,535,4.595,341
590,398,0.838,192
398,879,0.496,481
879,608,1.821,271
784,299,2.242,485
218,212,1.885,6
212,5,0.857,207
5,541,1.276,536
541,820,1.943,279
820,272,0.355,548
272,327,1.999,55
327,89,1.837,238
89,85,1.984,4
78,455,0.31,377
455,225,3.783,230
560,546,0.488,14
546,348,1.486,198
348,98,4.337,250
664,111,2.252,553
14,487,1.198,473
815,713,1.5519999999999998,102
634,559,1.569,75
76,325,0.711,249
819,76,0.578,743
789,860,2.589,71
44,648,0.736,604
554,377,1.236,177
652,712,0.973,60
1,179,0.391,178
228,509,1.767,281
377,686,1.57,309
288,706,0.481,418
425,604,0.384,179
269,471,0.872,202
480,757,0.757,277
235,654,7.281000000000001,419
354,851,0.851,497
608,21,1.242,587
279,735,2.005,456
309,252,0.402,57
63,135,1.091,72
681,615,0.941,66
127,778,0.503,651
373,401,0.607,28
493,81,0.863,412
225,11,1.6569999999999998,214
129,351,0.275,222
355,766,0.705,411
733,594,1.393,139
131,267,0.7879999999999999,136
611,533,0.789,78
392,611,0.79,219
267,190,0.741,77
508,486,0.7859999999999999,22
467,873,0.722,406
676,174,0.947,502
852,550,0.705,302
273,818,1.912,545
16,139,1.389,123
755,233,0.526,522
143,336,1.6869999999999998,193
833,842,3.388,9
154,192,11.022,38
846,794,0.34,52
794,311,2.089,483
343,707,1.4480000000000002,364
544,689,2.093,145
382,562,0.289,180
882,788,0.336,94
385,236,0.828,149
74,605,0.882,531
502,567,0.419,65
678,641,0.27,37
31,347,0.032,316
347,107,3.5610000000000004,240
741,678,1.37,63
861,740,2.37,121
613,829,0.619,216
107,578,1.699,471
829,741,1.849,88
578,8,1.507,570
201,613,1.3769999999999998,412
395,208,1.21,187
8,409,1.571,401
522,201,1.476,321
682,522,0.272,160
409,609,0.304,200
497,682,1.685,185
609,169,1.429,440
169,758,1.011,589
50,759,2.373,709
758,479,0.321,279
479,53,4.415,426
53,684,2.344,631
644,50,5.004,594
684,296,19.138,388
696,644,2.406,52
437,334,2.0340000000000003,103
380,882,0.993,502
551,257,1.944,294
257,230,0.353,27
397,699,0.598,302
567,114,0.307,453
7,343,0.353,336
405,432,0.361,27
759,497,0.255,262
641,846,1.78,205
108,226,0.497,118
132,646,1.406,514
518,98,7.349,420
432,31,2.279,401
111,148,0.564,37
103,158,2.004,55
38,46,5.834,8
281,864,2.6260000000000003,583
281,357,1.112,76
632,38,1.127,594
298,661,1.224,363
570,3,4.033,567
264,396,20.539,132
482,744,0.483,262
359,525,0.8340000000000001,166
4,547,1.16,543
447,37,0.925,410
415,534,1.182,119
869,374,0.884,495
690,645,0.805,45
645,756,0.966,111
756,238,0.481,518
238,580,0.972,342
413,477,0.762,64
580,669,0.805,89
669,700,0.818,31
798,810,0.72,12
534,538,0.972,4
538,824,1.132,286
719,865,1.568,146
824,543,1.827,281
404,719,1.13,315
700,353,0.3879999999999999,347
40,798,0.815,758
163,705,1.04,542
596,468,2.272,128
28,677,2.093,649
390,161,1.7619999999999998,229
461,629,3.822,168
629,390,5.981,239
629,262,1.591,367
115,183,1.607,68
10,340,9.636,330
340,696,19.063,356
842,143,1.548,699
790,386,0.581,404
840,834,3.059,6
543,275,2.31,268
691,551,1.394,140
707,544,0.497,163
121,469,2.077,348
22,121,1.751,99
547,240,0.255,307
701,583,0.778,118
788,573,0.785,215
488,790,0.675,302
312,765,0.7390000000000001,453
517,867,0.469,350
52,835,5.28,783
337,540,1.227,203
159,38,2.662,121
159,337,0.336,178
510,159,0.8029999999999999,351
621,515,6.499,106
658,439,1.033,219
62,462,0.588,400
241,813,0.963,572
321,175,0.8079999999999999,146
802,321,0.48,481
813,814,2.34,1
492,802,0.48,310
141,358,1.7719999999999998,217
834,162,1.707,672
139,1,4.561,138
661,182,1.028,479
318,73,1.202,245
293,30,0.768,263
54,465,0.96,411
730,285,0.962,445
858,441,1.164,417
328,685,0.223,357
324,453,0.693,129
470,520,0.6609999999999999,50
856,548,0.481,308
180,859,0.789,679
276,180,0.482,96
548,380,0.498,168
308,2,0.946,306
427,502,1.19,75
662,116,1.139,546
0,475,0.962,475
866,293,0.962,573
364,87,0.718,277
553,443,1.648,110
665,553,0.96,112
342,806,0.935,464
248,753,0.6709999999999999,505
742,248,0.319,494
457,110,3.772,347
457,464,2.7430000000000003,7
839,189,1.287,650
803,457,0.644,346
428,803,2.086,375
189,539,2.09,350
275,839,0.802,564
622,258,2.025,364
399,622,0.321,223
539,444,1.77,95
806,399,0.997,407
753,665,0.927,88
832,342,0.66,490
469,828,1.288,359
828,715,1.449,113
715,281,4.011,434
715,624,1.769,91
624,881,0.481,257
46,478,2.41,432
478,410,2.411,68
410,692,0.48,282
692,243,4.972,449
243,428,2.062,185
444,211,0.31,233
211,433,4.614,222
760,459,0.948,301
433,631,0.325,198
631,809,2.591,178
254,422,2.166,168
307,254,0.637,53
616,307,1.94,309
423,402,0.654,21
728,281,5.496,447
728,423,2.9,305
809,728,2.521,81
422,219,1.524,203
219,815,3.754,596
881,46,2.414,835
402,616,1.3090000000000002,214
464,742,1.121,278
258,275,0.7070000000000001,17
142,426,4.148,284
740,666,0.51,74
418,741,2.841,323
769,43,0.341,726
43,119,0.61,76
119,234,0.7020000000000001,115
718,775,0.894,57
234,584,0.34,350
584,745,0.425,161
313,379,0.409,66
379,693,1.585,314
745,313,1.125,432
360,33,0.715,327
693,593,0.354,100
593,485,0.835,108
48,507,1.354,459
485,642,0.852,157
642,504,1.053,138
816,48,0.861,768
504,47,1.088,457
47,86,0.959,39
145,557,1.4280000000000002,412
86,855,1.874,769
292,145,0.648,147
557,816,0.72,259
507,711,0.534,204
711,260,1.222,451
260,329,0.308,69
329,360,0.93,31
33,221,0.32,188
221,718,0.445,497
775,268,0.3429999999999999,507
268,817,1.15,549
817,418,0.518,399
666,769,1.413,103
416,484,0.513,68
484,617,0.959,133
647,154,9.751,493
330,39,14.042,291
515,330,0.889,185
17,141,1.606,124
338,737,0.799,399
774,595,1.4880000000000002,179
776,338,1.4880000000000002,438
595,625,1.604,30
442,776,1.608,334
625,524,0.986,101
13,39,1.212,26
13,74,0.546,61
370,42,0.883,328
537,13,0.8420000000000001,524
496,521,2.095,25
521,400,0.6409999999999999,121
463,671,0.2239999999999999,208
230,725,1.733,495
811,142,1.311,669
530,463,0.319,67
36,278,1.133,242
202,218,2.959,16
531,694,2.01,163
77,416,0.61,339
689,382,0.079,307
588,612,1.492,24
857,167,0.416,690
400,831,0.868,431
419,370,1.205,49
771,630,1.126,141
265,365,1.012,100
161,271,1.594,110
617,461,1.751,156
334,714,2.162,380
208,256,1.023,48
417,476,0.1119999999999999,59
256,639,1.036,383
256,199,4.669,57
878,687,0.77,191
583,503,2.217,80
503,633,0.804,130
92,878,2.213,786
434,305,1.413,129
69,316,0.639,247
722,434,0.6409999999999999,288
316,381,0.878,65
320,589,0.894,269
291,545,0.225,254
633,291,0.482,342
217,92,0.8029999999999999,125
140,837,0.6709999999999999,697
362,294,0.733,68
150,558,0.483,408
868,213,0.608,655
677,523,0.531,154
246,64,0.375,182
227,653,2.674,426
366,403,0.289,37
284,384,1.804,100
384,698,2.903,314
529,366,1.7990000000000002,163
698,482,2.414,216
352,529,2.903,177
744,575,0.161,169
575,376,4.843,199
148,214,1.16,66
860,716,1.228,144
799,79,0.809,720
59,667,0.889,608
746,59,0.807,687
198,378,1.465,180
98,57,0.815,41
420,96,2.06,324
240,683,7.196,443
782,16,1.722,766
843,253,3.809,590
353,415,1.961,62
663,789,17.238,126
591,600,8.862,9
374,40,1.471,334
477,498,1.596,21
710,843,0.785,133
396,352,6.295999999999999,44
